Correct Answer,Last Correct Answer Date,Streak,Priority,Other Question Padding,Overall Score,Total Priority
m,2024-08-24 13:25:09.591686,2,7,-10,3,7
s,2024-08-24 13:39:02.328334,-1,9,0,1,16
a,2024-08-24 12:42:08.110471,4,1,-30,9,17
ē,2024-08-24 13:38:48.763079,3,4,-7,6,21
t,2024-08-24 13:47:22.970950,4,3,1,7,24
r,2024-08-24 13:49:29.635021,3,4,2,6,31
d,,0,10,-20,0,41
i,,0,10,-20,0,51
c,2024-08-24 12:59:48.407777,3,2,-21,8,53
b,2024-08-24 13:00:39.725572,1,20,-20,-10,73
d,2024-08-24 12:59:09.741728,3,7,-22,3,80
